station_name,total_trips,peak_hour,peak_share,top3_share,span50_hours,hhi_norm
North Moore St & Greenwich St,115933,17,0.148,0.358,5,0.035
Vesey Pl & River Terrace,124450,17,0.121,0.317,6,0.028
West St & Chambers St,242857,18,0.12,0.32,6,0.029
W 15 St & 10 Ave,69650,17,0.113,0.309,6,0.031
1 Ave & E 44 St,61150,9,0.109,0.312,6,0.027
5 Ave & E 87 St,107822,15,0.108,0.316,5,0.038
E 25 St & 1 Ave,74600,8,0.107,0.247,7,0.018
West St & Liberty St,172193,17,0.105,0.288,6,0.025
10 Ave & W 14 St,146098,17,0.105,0.305,6,0.031
11 Ave & W 27 St,114843,17,0.103,0.284,7,0.021
Riverside Blvd & W 67 St,100467,18,0.103,0.286,6,0.023
Milton St & Franklin St,81200,18,0.103,0.274,7,0.02
5 Ave & E 93 St,72222,15,0.103,0.294,6,0.03
Vernon Blvd & 50 Ave,62648,18,0.103,0.279,7,0.021
Kent Ave & N 7 St,119708,18,0.102,0.277,7,0.022
W 34 St & 11 Ave,103000,17,0.101,0.281,7,0.026
Wythe Ave & Metropolitan Ave,131949,18,0.1,0.277,7,0.022
W 64 St & Thelonious Monk Circle,86696,17,0.099,0.269,7,0.019
E 20 St & FDR Dr,93193,18,0.098,0.269,7,0.019
West Thames St,84428,17,0.098,0.263,7,0.022
Riverside Dr & W 72 St,80689,18,0.097,0.279,6,0.024
Atlantic Ave & Furman St,67011,17,0.097,0.271,7,0.024
E 54 St & 1 Ave,63864,18,0.097,0.267,7,0.019
Franklin St & Dupont St,66937,18,0.096,0.264,7,0.02
Central Park West & W 85 St,102006,17,0.095,0.277,6,0.024
E 51 St & 1 Ave,62289,18,0.094,0.26,8,0.016
W 16 St & The High Line,114502,18,0.093,0.259,7,0.022
S 4 St & Wythe Ave,114400,18,0.093,0.251,7,0.017
Bank St & Washington St,66220,17,0.093,0.258,7,0.021
W 44 St & 11 Ave,124751,18,0.092,0.256,7,0.016
E 72 St & York Ave,110581,8,0.092,0.254,7,0.019
1 Ave & E 39 St,103937,18,0.091,0.254,7,0.017
Greenwich St & W Houston St,96916,17,0.09,0.25,7,0.016
Little West St & 1 Pl,92591,17,0.09,0.259,7,0.025
Pier 40 - Hudson River Park,127209,18,0.089,0.258,7,0.02
Central Park W & W 91 St,97079,17,0.089,0.258,7,0.023
Washington St & Gansevoort St,129189,17,0.088,0.255,7,0.021
W 46 St & 11 Ave,62362,17,0.084,0.237,7,0.017
1 Ave & E 30 St,90841,8,0.083,0.233,7,0.017
E 33 St & 1 Ave,180053,17,0.08,0.23,8,0.014
