station_key,endpoints,station_name,borough,lat,lng,share_of_water_endpoints,hotspot_index,cum_share
west st & chambers st,247625,West St & Chambers St,Manhattan,40.717674,-74.01313,0.029297165004591123,7.998126046253376,0.029297165004591123
e 33 st & 1 ave,181674,E 33 St & 1 Ave,Manhattan,40.743378,-73.97474,0.021494328743237104,5.86795174690373,0.05079149374782822
west st & liberty st,175364,West St & Liberty St,Manhattan,40.711533,-74.01481,0.020747776047915667,5.664142861080977,0.07153926979574389
10 ave & w 14 st,148824,10 Ave & W 14 St,Manhattan,40.7418,-74.00832,0.01760775884762552,4.8069181654017665,0.0891470286433694
wythe ave & metropolitan ave,133592,Wythe Ave & Metropolitan Ave,Brooklyn,40.716976,-73.96317,0.01580562086741378,4.314934496803962,0.10495264951078317
washington st & gansevoort st,131235,Washington St & Gansevoort St,Manhattan,40.739044,-74.008,0.015526757998495773,4.238804933589346,0.12047940750927895
pier 40 - hudson river park,129231,Pier 40 - Hudson River Park,Manhattan,40.727715,-74.01122,0.015289659487968966,4.174077040215527,0.13576906699724792
vesey pl & river terrace,126607,Vesey Pl & River Terrace,Manhattan,40.7153,-74.01648,0.014979207146840054,4.089323551087334,0.15074827414408798
w 44 st & 11 ave,126360,W 44 St & 11 Ave,Manhattan,40.761803,-73.996864,0.014949983927229214,4.081345612133576,0.1656982580713172
kent ave & n 7 st,121713,Kent Ave & N 7 St,Brooklyn,40.72054,-73.96149,0.014400185135603429,3.931250542019736,0.18009844320692062
north moore st & greenwich st,117097,North Moore St & Greenwich St,Manhattan,40.720207,-74.01035,0.01385405403550775,3.782156751693616,0.19395249724242836
11 ave & w 27 st,116327,11 Ave & W 27 St,Manhattan,40.751278,-74.00547,0.013762953310405134,3.7572862537406015,0.2077154505528335
s 4 st & wythe ave,116041,S 4 St & Wythe Ave,Brooklyn,40.712948,-73.96602,0.013729115898224164,3.7480486402151967,0.22144456645105767
w 16 st & the high line,115804,W 16 St & The High Line,Manhattan,40.743347,-74.00691,0.013701075804913358,3.7403936947413468,0.23514564225597104
5 ave & e 87 st,112393,5 Ave & E 87 St,Manhattan,40.78254,-73.95978,0.013297511423971772,3.630220618744294,0.2484431536799428
e 72 st & york ave,111764,E 72 St & York Ave,Manhattan,40.766716,-73.95348,0.013223092779699635,3.6099043288580006,0.2616662464596424
1 ave & e 39 st,105066,1 Ave & E 39 St,Manhattan,40.7473,-73.97104,0.012430634783936884,3.393563296014769,0.27409688124357934
central park west & w 85 st,104700,Central Park West & W 85 St,Manhattan,40.78489,-73.96978,0.01238733236135564,3.38174173465009,0.286484213604935
w 34 st & 11 ave,104627,W 34 St & 11 Ave,Manhattan,40.75607,-74.00235,0.012378695539365393,3.3793838822467523,0.29886290914430036
riverside blvd & w 67 st,103217,Riverside Blvd & W 67 St,Manhattan,40.777927,-73.988815,0.012211874731060604,3.333841801579545,0.31107478387536097
central park w & w 91 st,99375,Central Park W & W 91 St,Manhattan,40.78865,-73.96666,0.011757317606587553,3.2097477065984017,0.3228321014819485
greenwich st & w houston st,97903,Greenwich St & W Houston St,Manhattan,40.7286,-74.00862,0.011583161415222552,3.1622030663557568,0.33441526289717105
e 20 st & fdr dr,94860,E 20 St & FDR Dr,Manhattan,40.733242,-73.97568,0.011223136082122217,3.0639161504193653,0.34563839897929327
little west st & 1 pl,94520,Little West St & 1 Pl,Manhattan,40.70572,-74.016846,0.011182909787921061,3.05293437210245,0.35682130876721435
1 ave & e 30 st,91405,1 Ave & E 30 St,Manhattan,40.741547,-73.9753,0.01081436594546048,2.952321903110711,0.36763567471267483
w 64 st & thelonious monk circle,88267,W 64 St & Thelonious Monk Circle,Manhattan,40.775017,-73.98894,0.010443100912509821,2.8509665491151814,0.37807877562518466
west thames st,86563,West Thames St,Manhattan,40.70836,-74.01719,0.010241496190984033,2.795928460138641,0.3883202718161687
riverside dr & w 72 st,82469,Riverside Dr & W 72 St,Manhattan,40.78084,-73.985565,0.009757124283750127,2.6636949294637846,0.3980773960999188
milton st & franklin st,82457,Milton St & Franklin St,Brooklyn,40.729076,-73.95783,0.009755704532190086,2.6633073372878933,0.4078331006321089
5 ave & e 93 st,75239,5 Ave & E 93 St,Manhattan,40.78581,-73.95751,0.008901723968825569,2.4301706434893804,0.4167348246009345
e 25 st & 1 ave,75145,E 25 St & 1 Ave,Manhattan,40.738102,-73.97722,0.00889060258160525,2.427134504778233,0.4256254271825397
w 15 st & 10 ave,70405,W 15 St & 10 Ave,Manhattan,40.742554,-74.00722,0.008329800715389149,2.2740355953012377,0.43395522789792884
atlantic ave & furman st,69157,Atlantic Ave & Furman St,Brooklyn,40.69171,-74.00016,0.00818214655314491,2.2337260090085604,0.44213737445107376
franklin st & dupont st,68178,Franklin St & Dupont St,Brooklyn,40.735714,-73.95867,0.008066318488371584,2.2021049473254424,0.45020369293944534
bank st & washington st,67215,Bank St & Washington St,Manhattan,40.73614,-74.00873,0.007952383425678312,2.171000675210179,0.4581560763651237
